,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9653,0.0,1.3928,0.0,0.7319,0.0,"[[ 935  543  238  179  164]
 [ 575  644  394  268  176]
 [ 348  419  541  471  279]
 [ 150  265  383  671  591]
 [ 107   99  179  510 1164]]"
1,0.9603,0.0,1.393,0.0,0.7279,0.0,"[[1007  480  253  173  147]
 [ 565  663  383  250  198]
 [ 352  441  522  483  260]
 [ 168  237  413  628  613]
 [ 115  102  198  435 1207]]"
2,0.9612,0.0,1.3867,0.0,0.7389,0.0,"[[ 924  547  247  177  163]
 [ 618  647  385  254  155]
 [ 368  435  517  458  282]
 [ 157  237  363  664  638]
 [  97  116  187  445 1212]]"
3,0.9713,0.0,1.4003,0.0,0.7296,0.0,"[[ 950  519  252  162  174]
 [ 633  625  358  288  155]
 [ 375  434  538  442  271]
 [ 139  253  409  674  583]
 [ 117  113  201  469 1159]]"
4,0.962,0.0,1.3909,0.0,0.7332,0.0,"[[ 950  529  249  156  175]
 [ 581  613  398  279  188]
 [ 332  411  528  506  280]
 [ 159  206  381  646  665]
 [  98  108  189  436 1230]]"
5,0.964,0.0045,1.3927,0.0049,0.7323,0.0042,--
6,"[0.9598, 0.9682]",0.0016,"[1.3881, 1.3974]",0.0018,"[0.7283, 0.7363]",0.0015,--
